# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2008eu      ESO289-010                   0.500    -0.33     0.12    0.457    -0.33     0.18    0.441    -0.31     0.16    0.313    -0.07     0.78
2011fs      UGC11975                     0.923     0.43     0.21    0.928     0.58     0.35    0.895     0.36     0.17    0.834     0.88     0.73
2008ei      UGC11977                     0.288    -0.34     0.08    0.275    -0.34     0.14    0.145     0.06     0.13    0.073   -99.00    -9.00
2013dy      NGC7250                      0.087    -0.09     0.11    0.104    -0.05     0.16    0.625    -0.42     0.06    0.660    -0.34     0.15
2010ic      UGC11983                     0.068     0.15     0.05    0.064     0.12     0.08    0.057     0.11     0.05    0.040    -0.02     0.33
2002dl      UGC11994                     0.440     0.08     0.05    0.421    -0.20     0.06    0.339    -1.95     0.02    0.247    -2.58     0.07
1978G       IC5201                       0.563    -1.62     0.21    1.000    -7.63    14.21    0.805    -7.33     0.34    0.573    -6.85     0.60
2014dq      ESO467-051                   1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -1.25     1.66    1.000     0.63    25.41
2002hz      UGC12044                     0.512     0.60     0.10    0.499     0.59     0.15    0.252     0.35     0.13    0.281     0.60     0.89
1964H       NGC7292                      0.493    -0.34     0.12    0.483    -1.51     0.11    0.454    -4.15     0.03    0.417    -3.86     0.09
2000el      NGC7290                      0.004     0.98     0.05    0.004     0.91     0.08    0.002     0.16     0.06    0.001     0.15     0.31
1996ca      NGC7300                      0.561    -0.03     0.06    0.562    -0.02     0.09    0.529    -0.01     0.04    0.478     0.24     0.21
2006gr      UGC12071                     1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2014ci      PGC166758                    0.115     1.28     0.05    0.101     1.18     0.07    0.048     0.87     0.05    0.036     0.50     0.20
2005kc      NGC7311                      0.544     0.30     0.05    0.509    -0.50     0.05    0.286    -2.65     0.01    0.247    -3.39     0.06
2007B       NGC7315                      0.294     0.82     0.06    0.290     0.76     0.09    0.320     0.93     0.17    1.000     1.20     1.41
1971P       NGC7319                      0.040     0.51     0.19    0.047     0.80     0.28    0.079     0.85     0.14    0.129     1.70     0.69
2008gj      NGC7321                      0.912     0.26     0.21    0.914     0.28     0.32    0.891     0.15     0.15    0.844     0.69     0.79
2013di      NGC7321                      0.747     0.40     0.12    0.751     0.50     0.20    0.706     0.50     0.09    0.637     0.37     0.40
1959D       NGC7331                      0.351     0.99     0.04    0.333     0.82     0.05    0.170    -0.45     0.01    0.180    -0.71     0.05
2013bu      NGC7331                      0.550     0.78     0.05    0.543     0.40     0.07    0.427    -0.99     0.01    0.455    -1.24     0.05
2014C       NGC7331                      0.487    -0.62     0.02    0.477    -0.73     0.03    0.340    -1.23     0.01    0.360    -1.40     0.04
1989L       NGC7339                      0.838    -1.03     0.05    0.838    -0.97     0.08    0.840    -0.72     0.04    0.744    -0.33     0.16
2006ea      UGC12134                     0.552     0.02     0.12    0.505     0.01     0.17    0.432     0.01     0.08    0.389     0.32     0.45
2013do      UGC12137                     0.276    -0.27     0.12    0.279    -0.20     0.18    0.308    -0.05     0.09    0.296    -0.23     0.37
2006bh      NGC7329                      0.782    -0.56     0.14    0.831    -1.97     0.12    0.705    -4.90     0.04    0.698    -5.79     0.30
2009iu      NGC7329                      0.960    -2.49     0.17    1.000    -4.54     0.20    0.927    -7.49     0.33    0.922    -8.44     2.38
2011ga      PGC069458                    0.847     2.24     0.49    0.861     2.38     0.79    0.820     2.14     0.24    0.757     1.49     0.63
1995X       UGC12160                     0.576     0.47     0.09    0.565     0.35     0.13    0.459    -0.00     0.05    0.396    -0.26     0.19
2004ef      UGC12158                     0.361     0.38     0.11    0.330     0.32     0.17    0.146     0.20     0.15    0.158    -1.36     0.87
2006lc      NGC7364                      0.599     0.20     0.06    0.594     0.11     0.08    0.568     0.03     0.03    0.477    -0.12     0.13
2009fk      NGC7364                      0.414     0.18     0.03    0.403     0.14     0.05    0.340     0.11     0.02    0.269     0.12     0.11
2011im      NGC7364                      0.869    -0.33     0.14    0.870    -0.44     0.20    0.883    -0.57     0.10    0.899    -0.60     0.31
2005dq      UGC12177                     0.042     0.73     0.05    0.042     0.68     0.08    0.165     0.14     0.04    0.167     0.13     0.17
2009hj      NGC7372                      0.220     0.86     0.07    0.210     0.79     0.10    0.153     0.53     0.04    0.118     0.48     0.19
2010if      NGC7372                      0.562     0.21     0.07    0.549     0.19     0.11    0.469     0.09     0.04    0.382     0.18     0.20
2011cb      IC5249                       0.566    -1.24     0.14    0.597    -1.42     0.20    0.679    -1.10     0.26    0.689    -0.89     1.13
2004db      NGC7377                      0.925     2.17     0.70    0.925   -99.00    -9.00    0.914   -99.00    -9.00    0.794   -99.00    -9.00
2005er      NGC7385                      1.000     3.16     0.87    1.000     2.23     0.85    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2003gq      NGC7407                      0.476    -0.01     0.06    0.478     0.00     0.09    0.393    -0.03     0.05    0.318    -0.06     0.20
2010em      UGC12237                     0.259     0.70     0.07    0.307     1.03     0.10    0.233     0.92     0.05    0.220     0.92     0.16
2002ge      NGC7400                      0.620     1.03     0.12    0.627     1.10     0.19    0.584     1.13     0.07    0.490     0.91     0.30
2014ba      NGC7410                      0.137     0.38     0.03    0.132     0.22     0.04    0.109    -2.96     0.02    0.173    -3.22     0.08
2007bn      NGC7408                      0.403     0.70     0.15    0.420     0.69     0.23    0.380     0.83     0.10    0.339     0.66     0.43
2009bu      NGC7408                      0.306     1.28     0.17    0.317     1.07     0.24    0.276     1.26     0.11    0.241     1.48     0.56
1983M?      NGC7418A                     0.091   -99.00    -9.00    0.098   -99.00    -9.00    0.656   -99.00    -9.00    0.599   -99.00    -9.00
2007oc      NGC7418A                     0.000    -5.65     6.35    0.000    -3.60     0.71    0.001    -2.55     0.10    0.003    -3.26     1.11
2011hs      IC5267                       0.543    -0.07     0.08    0.528    -0.13     0.12    0.352    -0.13     0.08    0.323     0.01     0.48
2001ig      NGC7424                      0.648    -1.20     0.27    0.629    -1.63     0.33    0.859    -1.18     0.23    0.793   -99.00    -9.00
1993L       IC5270                       1.000    33.85     2.39    1.000    46.64    10.38    1.000     9.36    12.45    1.000    27.10    61.16
2011fz      UGC12271                     0.784     1.00     0.26    0.780     0.76     0.34    0.783     0.74     0.14    0.711   -99.00    -9.00
2006dj      UGC12287                     1.000     0.57     0.35    0.968     0.62     0.70    0.199     0.12     0.06    0.167     0.13     0.20
1980L       NGC7448                      0.602     1.40     0.11    0.585     0.30     0.09    0.522    -1.57     0.01    0.431    -1.84     0.05
1997dt      NGC7448                      0.136     0.65     0.04    0.124     0.38     0.05    0.081    -0.97     0.01    0.057    -1.45     0.05
2008hl      NGC7451                      0.710    -0.62     0.07    0.707    -0.61     0.11    0.662    -0.52     0.05    0.530    -0.43     0.21
2003gk      NGC7460                      0.487    -0.85     0.05    0.473    -1.59     0.05    0.547    -0.56     0.03    0.485    -0.30     0.15
2003gu      UGC12331                     0.677     0.34     0.17    0.712     0.49     0.29    0.636     0.49     0.15    0.562    -0.38     0.52
1990U       NGC7479                      0.644    -0.94     0.07    0.730    -1.07     0.09    0.702    -1.20     0.03    0.821    -1.21     0.12
2009jf      NGC7479                      0.705     0.37     0.13    0.780    -0.02     0.16    0.754     0.84     0.09    0.851     1.05     0.38
2010id      NGC7483                      1.000    -5.02     7.72    1.000    -2.48     1.00    1.000    -2.58     1.72    1.000    -2.10     2.79
2011gu      NGC7485                      0.884     0.98     0.22    0.890     0.92     0.35    0.963     2.22     0.98    0.817   -99.00    -9.00
1973N       NGC7495                      0.190     0.36     0.10    0.208     0.30     0.16    0.229     0.17     0.06    0.249     0.45     0.30
1986M       NGC7499                      0.774     0.04     0.16    0.780     0.19     0.28    0.791    -1.07     0.43    1.000    -0.70     2.21
2011hg      UGC12410                     1.000    -2.51     0.20    1.000     8.46    14.98    1.000   -10.21    21.15    1.000     0.16    16.58
2004cz      ESO407-009                   0.909    -1.58     0.22    0.875    -1.74     0.31    0.837    -1.54     0.33    0.834    -1.33     9.77
2002gd      NGC7537                      0.826     0.51     0.15    0.828     0.60     0.23    0.779     0.63     0.09    0.692     0.51     0.35
1998dh      NGC7541                      1.000    -4.60     0.10    1.000    -4.36     0.17    1.000    -4.05     0.11    1.000    -3.57     0.33
2012dj      NGC7531                      0.448     0.05     0.05    0.434    -0.02     0.07    0.253    -0.74     0.04    0.186    -0.68     0.21
2009nq      NGC7549                      0.990    -0.28     0.42    0.985   -99.00    -9.00    0.989    -0.40     0.37    0.979    -0.60     0.69
2011hv      NGC7589                      1.000     0.33     0.21    1.000     0.59     0.25    0.597     0.30     0.10    0.430     0.42     0.50
1965M       NGC7606                      0.798    -2.06     0.07    0.831    -2.10     0.11    0.761    -2.13     0.07    0.903    -2.30     0.33
1987N       NGC7606                      0.566    -0.99     0.05    0.584    -0.95     0.08    0.457    -0.75     0.05    0.539    -0.50     0.24
2013fs      NGC7610                      0.725    -2.30     0.11    0.754    -3.49     0.12    0.753    -6.40     0.14    0.646    -6.24     0.31
1970J       NGC7619                      0.671     0.25     0.10    0.671     0.36     0.17    0.692     1.97     0.58    0.655   -99.00    -9.00
2008ea      NGC7624                      0.520     0.23     0.06    0.538     0.22     0.09    0.549     0.11     0.03    0.450     0.12     0.13
2010kc      NGC7624                      0.085     0.59     0.03    0.085     0.55     0.05    0.070     0.45     0.02    0.049     0.28     0.09
2006B       UGC12538                     0.094     0.16     0.05    0.090    -0.16     0.06    0.069    -1.64     0.02    0.051    -2.20     0.08
1972J       NGC7634                      0.986    -0.27     0.46    0.984    -0.58     0.49    0.967   -99.00    -9.00    1.000   -99.00    -9.00
2010kx      NGC7645                      0.352     1.49     0.11    0.354     1.57     0.17    0.239     1.06     0.07    0.197     1.00     0.31
2009hi      NGC7647                      0.380     1.13     0.13    0.384     1.15     0.21    0.351     1.26     0.39    0.091   -99.00    -9.00
1992ao      NGC7637                      0.995   -99.00    -9.00    0.997     0.46     1.03    0.980     0.19     0.31    0.975   -99.00    -9.00
2012ah      NGC7637                      0.921     1.23     0.39    0.925     2.14     0.88    0.891     1.70     0.29    0.895   -99.00    -9.00
2014ce      NGC7673                      0.090     0.32     0.04    0.084     0.29     0.05    0.059     0.20     0.02    0.044     0.16     0.06
1973L       PGC071495                    0.349     0.70     0.10    0.337     0.65     0.16    0.242     0.25     0.06    0.174     0.16     0.34
