# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
2012dy      ESO145-004                   0.946   -99.00    -9.00    0.939    -0.91     4.62    0.991    -0.99     6.08
2002dq      NGC7051                      0.826     0.62     2.44    0.844     1.15     2.76    0.826     0.46     2.24
2000ej      IC1371                       0.001     3.97     0.60    0.001     4.19     0.55    0.001     4.28     0.59
2006cm      UGC11723                     0.111    -1.11     0.53    0.127    -1.55     0.42    0.135    -2.01     0.41
2001fh      PGC066592                    0.171     0.65     0.45    0.176     0.63     0.38    0.176     0.66     0.40
2001dl      UGC11725                     0.638    -0.22     1.76    0.650     0.18     1.78    0.772     0.04     1.96
2003ep      NGC7053                      0.002     4.73     0.36    0.003     4.98     0.32    0.003     5.14     0.34
2006oa      A212342-0050                 0.031     9.59     4.62    0.199    10.20    15.91    0.002   -99.00    -9.00
1992ae      A212817-6133                 0.126   -99.00    -9.00    0.122   -99.00    -9.00    0.167   -99.00    -9.00
1998ey      NGC7080                      0.703    -0.36     1.63    0.683     0.07     1.79    0.686     0.15     1.99
2006ev      UGC11758                     0.864    -0.92     1.90    0.878    -1.47     1.68    0.898    -2.28     1.44
1990af      A213458-6244                 0.812   -99.00    -9.00    0.787   -99.00    -9.00    0.615   -99.00    -9.00
2009hm      NGC7083                      0.195     0.37     0.71    0.224     0.47     0.68    0.214     0.41     0.71
2003iw      NGC7102                      0.203     0.57     2.70    0.147     0.68     2.73    0.192    -0.21     2.13
2005dc      NGC7107                      0.700    -1.19     2.08    0.602     0.07     3.38    0.737    -0.97     2.51
2004by      NGC7116                      0.677     0.38     1.87    0.685     1.90     3.47    0.715     0.85     2.40
2009gk      UGC11803                     0.825    -0.17     3.66    0.838    -0.55     3.17    0.847     0.78     4.64
1998co      NGC7131                      0.406     0.12     0.77    0.461     0.14     0.70    0.449     0.24     0.80
2010bt      NGC7130                      0.595    -0.51     0.70    0.637    -0.51     0.63    0.652    -0.52     0.67
2004ey      UGC11816                     0.544    -0.22     1.95    0.528    -0.19     1.73    0.478   -99.00    -9.00
2012du      NGC7125                      0.043    -0.17     0.92    0.040    -0.06     0.89    0.040    -0.10     0.96
2002dn      IC5145                       0.487     0.03     1.24    0.503     0.16     1.20    0.500    -0.04     1.18
2003hy      IC5145                       0.317     0.26     1.09    0.332     0.28     0.99    0.335     0.19     1.00
2010iq      IC5145                       0.118     0.55     0.69    0.125     0.53     0.60    0.127     0.56     0.65
2005cm      IC5142                       0.808    -1.65     2.39    0.645    -0.35     2.67    0.840    -1.02     2.51
2005lh      A215548+0110                 0.000     3.80     2.18    0.001     6.11     2.76    0.001     5.69     2.24
2006on      A215558-0104                 0.166    10.48     1.43    0.062     8.00     1.01    0.058     7.41     1.16
1995ag      UGC11861                     0.411     0.58     2.04    0.426     0.18     1.54    0.424     0.13     1.69
1997db      UGC11861                     0.727     0.21     2.70    0.736     1.69     4.73    0.736    -0.09     2.42
2011dm      UGC11861                     1.000    -6.04     6.57    1.000    -2.17     2.56    1.000     0.18     8.76
2004eq      ESO404-012                   0.600     0.14     1.62    0.605     0.01     1.46    0.581     0.32     1.90
2004gf      UGC11864                     0.603    -1.95     1.72    0.693    -2.45     1.91    0.629    -1.21     3.06
2008fd      ESO466-024                   0.966    -0.49     2.36    0.967    -0.58     2.03    0.944    -0.29     2.31
2005lk      A215949-0111                 0.000     3.34     1.95    0.000     2.80     1.56    0.000     3.26     1.62
1960L       NGC7177                      0.976    -1.00     4.49    0.968    -1.97     4.03    0.962     0.16     6.57
1976E       NGC7177                      0.630    -1.26     0.43    0.657    -1.20     0.41    0.639    -1.15     0.47
2007fs      ESO601-005                   0.609     2.43     3.51    0.657     5.13    10.99    0.612   -99.00    -9.00
2013gh      NGC7183                      0.074     0.01     0.31    0.068     0.07     0.26    0.102     0.09     0.27
2008ct      UGC11878                     0.865    -0.58     2.73    0.889     0.16     2.82    0.885     0.54     4.22
1984N       NGC7184                      0.955    -2.49     1.54    0.883    -2.57     1.14    0.959    -2.20     1.45
2003kg      IC1427                       0.566     0.80     2.13    0.591     0.59     1.80    0.601     0.55     1.93
2001fy      UGC11922                     0.007     0.10     1.19    0.006     0.13     1.18    0.009     0.13     1.18
2012gi      UGC11922                     0.099   -99.00    -9.00    0.101   -99.00    -9.00    0.131    -2.34     4.15
2001cy      UGC11927                     0.205     0.26     1.10    0.204     0.12     0.92    0.211     0.24     1.03
1998cv      ESO237-042                   0.679    -0.19     1.73    0.675    -0.37     1.53    0.710    -0.21     1.78
2009dt      IC5169                       0.822    -1.34     1.11    1.000    -4.82     2.86    0.975    -1.76     1.15
1987J       ESO601-026                   0.738   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2008dr      NGC7222                      0.236     0.98     1.59    0.330     0.70     1.22    0.258     0.81     1.38
2000dw      UGC11955                     0.076     0.59     0.96    0.081     0.55     0.85    0.073     0.60     0.92
2007cn      UGC11953                     0.257     0.83     0.77    0.277     0.91     0.68    0.299     0.91     0.69
2010bv      ESO533-004                   1.000    -5.71     2.14    1.000    -4.68     1.28    1.000    -4.83     1.58
2001fd      UGC11957                     0.746    -0.21     2.90    0.808     0.43     3.71    0.628     1.19     6.14
2007cq      A221440+0504                 0.339     0.64     2.14    0.245     0.29     1.85    0.254     0.55     2.39
2001ib      NGC7242                      0.162     1.18     0.92    0.165     1.15     0.80    0.166     1.25     0.90
1999ee      IC5179                       0.460    -0.96     0.78    0.493    -1.42     0.70    0.523    -1.90     0.75
1999ex      IC5179                       0.000     0.59     0.90    0.000     0.18     0.86    0.000    -0.29     0.89
2005cw      IC1439                       0.465    -0.75     2.29    0.444    -0.27     2.34    0.498    -0.12     2.55
2008eu      ESO289-010                   0.500    -0.50     1.67    0.654    -0.90     1.52    0.541    -0.50     1.72
2011fs      UGC11975                     0.725     0.20     3.75    0.773    -0.19     2.84    0.716    -0.25     3.26
2013dy      NGC7250                      0.535    -0.11     1.94    0.587    -0.28     1.71    0.616    -0.00     2.23
2002jg      NGC7253B                     0.990    -3.67     1.60    0.968    -3.42     1.47    0.958    -3.38     1.55
2002dl      UGC11994                     0.474    -0.04     0.82    0.503    -0.02     0.72    0.568     0.05     0.77
1978G       IC5201                       0.849     0.96    10.03    0.977    -0.38     8.22    0.991   -99.00    -9.00
1970H       UGC12005                     0.167   -99.00    -9.00    0.167   -99.00    -9.00    0.163   -99.00    -9.00
2014dq      ESO467-051                   1.000   -99.00    -9.00    1.000    -2.23     6.09    1.000    -3.46     4.69
2002hz      UGC12044                     0.520     0.48     1.55    0.520     0.57     1.45    0.548     0.64     1.68
1964H       NGC7292                      0.527     0.18     2.39    0.521    -0.24     1.95    0.502     0.55     2.94
2000el      NGC7290                      0.000     2.11     0.71    0.000     2.31     0.65    0.000     2.34     0.72
1996ca      NGC7300                      0.544    -0.27     1.01    0.525    -0.22     0.93    0.553    -0.31     0.99
2006gr      UGC12071                     1.000    -2.17     5.20    1.000    -1.63     2.25    1.000    -2.97     2.75
2005kc      NGC7311                      0.613    -0.51     0.96    0.651    -0.96     0.86    0.615    -1.45     0.92
2007B       NGC7315                      0.390     0.58     0.98    0.522     0.51     0.87    0.440     0.69     1.01
2006cx      NGC7316                      0.165     0.12     0.63    0.178     0.13     0.58    0.162     0.13     0.62
1971P       NGC7319                      0.058     0.70     3.79    0.004   -99.00    -9.00    0.060   -99.00    -9.00
2008gj      NGC7321                      0.885     0.46     4.28    0.879    -0.52     2.31    0.964   -99.00    -9.00
2013di      NGC7321                      0.714     0.52     2.11    0.712     0.25     1.83    0.800     0.34     2.24
2005ce      IC5233                       0.587     0.38     1.70    0.578     0.50     1.64    0.670     0.37     1.68
1959D       NGC7331                      0.367     0.27     0.77    0.343    -0.23     0.65    0.358    -0.74     0.67
2013bu      NGC7331                      0.536    -0.00     1.09    0.511    -0.55     0.90    0.537    -0.93     1.02
2014C       NGC7331                      0.480    -1.48     0.46    0.456    -1.95     0.39    0.480    -2.46     0.42
1989L       NGC7339                      0.783    -1.24     0.83    0.847    -1.34     0.74    0.849    -1.40     0.78
1974J       NGC7343                      0.776     0.36     2.33    0.820     0.86     2.65    0.822     0.53     2.67
2006ea      UGC12134                     0.519     0.28     1.95    0.566    -0.02     1.67    0.551    -0.16     1.57
2013do      UGC12137                     0.318    -0.34     2.01    0.386    -0.35     1.93    0.304    -0.71     1.81
2006bh      NGC7329                      0.903    -1.36     3.07    0.933    -2.29     2.29    0.876    -2.14     3.10
2009iu      NGC7329                      0.998    -4.97     3.77    1.000    -3.17     6.63    0.978    -2.16     7.42
2004ef      UGC12158                     0.376     0.07     1.70    0.348     0.12     1.50    0.359     0.45     1.90
2006lc      NGC7364                      0.580    -0.03     1.08    0.623    -0.13     0.94    0.637    -0.11     1.04
2009fk      NGC7364                      0.443    -0.11     0.63    0.482    -0.12     0.55    0.499    -0.09     0.59
2011im      NGC7364                      0.834    -0.66     2.23    0.869    -0.63     2.12    0.880     0.05     2.73
2005dq      UGC12177                     0.052    -0.41     0.95    0.081    -0.03     0.86    0.054    -0.55     0.94
2006fp?     UGC12182                     0.648    -0.09     2.06    0.593    -0.29     1.66    0.630     0.12     2.24
2014ck      UGC12182                     0.252     0.18     1.07    0.207     0.12     1.04    0.207     0.06     1.12
1995ac      A224541-0845                 0.249   -99.00    -9.00    0.200   -99.00    -9.00    0.049   -99.00    -9.00
2011cb      IC5249                       0.554    -1.75     1.82    0.476    -1.14     2.18    0.639    -1.26     2.65
2004db      NGC7377                      0.964   -99.00    -9.00    0.999   -99.00    -9.00    0.972   -99.00    -9.00
2005er      NGC7385                      1.000     0.71     8.19    1.000    -0.51    10.08    1.000    -4.95     6.07
2002dr      UGC12214                     0.350     0.62     0.63    0.350     0.60     0.56    0.383     0.68     0.63
