# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2013di      NGC7321                      0.450     0.80     0.64    0.505     0.67     0.14
2005ce      IC5233                       0.231     1.75     0.41    0.239     1.73     0.18
1959D       NGC7331                      0.047    -1.01     0.04    0.102     0.23     0.02
2013bu      NGC7331                      0.109    -1.56     0.03    0.201    -0.64     0.01
2014C       NGC7331                      0.081     0.06     0.07    0.163    -0.06     0.02
1954T       PGC069331                    0.290     1.04     0.38    0.280     1.67     0.23
1989L       NGC7339                      0.725    -1.33     0.09    0.718    -0.84     0.05
2010ii      NGC7342                      0.477    -0.06     0.41    0.410     0.55     0.25
1974J       NGC7343                      0.622     1.24     0.09    0.654     1.39     0.04
2006ea      UGC12134                     0.197     0.01     0.03    0.229     0.36     0.02
2006bh      NGC7329                      0.571     2.51     0.84    0.580     0.76     0.08
2009iu      NGC7329                      0.945    -1.30     0.76    0.933    -2.70     0.06
2011ec      ESO147-005                   0.196     0.98     0.40    0.229     0.60     0.08
2006py      A224142-0008                 0.072     4.71     9.01    0.186     5.84     9.01
2004ef      UGC12158                     0.050     0.73     0.75    0.074    -0.11     0.17
2006lc      NGC7364                      0.399     1.29     0.13    0.463     1.62     0.05
2009fk      NGC7364                      0.212     0.97     0.09    0.264     1.13     0.03
2011im      NGC7364                      0.808     1.92     0.44    0.829     5.09     0.67
2005dq      UGC12177                     0.179     0.66     0.19    0.200     1.58     0.10
2011ff      UGC12179                     1.000     0.57     1.55    0.840    -5.20     9.20
2006fp?     UGC12182                     0.698    -0.91     0.50    0.627    -0.49     0.25
2014ck      UGC12182                     0.101    -0.09     0.57    0.112     1.07     0.33
1995ac      A224541-0845                -9.000    -0.49     9.24    0.005    -1.01     9.06
2011cb      IC5249                       0.386    -0.65     0.10    0.408    -0.43     0.03
2004db      NGC7377                      0.915    -5.45     9.03    0.897    -5.49     9.11
2010ek      UGC12191                     0.811     0.64     0.43    1.000     1.47     0.37
2003gq      NGC7407                      0.175     0.17     0.32    0.204     0.58     0.16
2010em      UGC12237                     0.038    -1.87     1.04    0.037    -0.21     0.38
2002ge      NGC7400                      0.297     0.93     0.40    0.351     1.36     0.21
2014ba      NGC7410                      0.053     2.03     9.00    0.063     3.26     9.00
2006ds      PGC070011                    0.184     0.35     0.46    0.208    -0.02     0.17
2008du      NGC7422                      0.257     0.71     0.17    0.218     0.40     0.07
1983M?      NGC7418A                     0.562    -0.43     0.10    0.582    -0.16     0.05
2007oc      NGC7418A                     0.001    -2.57     0.10    0.001    -2.43     0.05
2005fx      A225648+0024                 0.711     6.31    17.70    0.045     0.67     9.00
2011hs      IC5267                       0.172     0.50     0.28    0.380     1.16     0.18
2001ig      NGC7424                      0.721    -0.25     0.10    0.743     0.01     0.06
1993L       IC5270                       1.000    -4.76     2.16    1.000    -1.59     0.74
2001cx      UGC12266                     0.432     1.01     0.24    0.473     1.24     0.12
2000fo      PGC070148                    0.798     0.41     0.62    0.669     0.72     0.27
2005ku      A225942-0000                 0.067     3.74     0.04    0.077     3.82     0.01
2014br      ESO147-017                   0.592     0.08     0.16    0.586     0.24     0.08
2008hl      NGC7451                      0.582     0.11     0.09    0.598     0.06     0.04
2005jg      A230102-0012                 0.026     4.83     9.09   -9.000    -6.27    10.35
2003gu      UGC12331                     0.506     0.08     0.41    0.523     0.05     0.20
2000ft      NGC7469                      0.323     6.01     0.00    0.134     4.31     0.00
2008ec      NGC7469                      0.876     1.22     0.08    0.823     1.46     0.03
1992aq      A230434-3720                 0.311    -4.74     9.02   -9.000    -0.94     9.94
1990U       NGC7479                      0.377    -1.63     0.07    0.423    -1.06     0.02
2009jf      NGC7479                      0.450    -1.75     0.07    0.497    -0.98     0.03
2001eq      PGC070417                    0.083     0.40     0.46    0.104     0.57     0.13
2000dn      IC1468                       0.369     0.20     0.81    0.387    -2.22     9.00
2011gu      NGC7485                      0.742    -1.10     1.52    0.637    -5.10     9.18
2008el      PGC070567                    0.976    -0.04     2.24    0.961     0.23     0.67
1973N       NGC7495                      0.145     0.06     0.39    0.155     0.46     0.20
2006en      MCG+05-54-041                0.602    -0.45     0.24    0.631    -0.21     0.10
1986M       NGC7499                      0.848    -0.08     2.32    0.791    -3.75     9.01
2001ic      NGC7503                      0.591    -4.43     9.03    0.547     2.41     1.23
2005kq      A231120-0036                 0.000    -4.70     9.62    0.000    -2.47     9.02
2011hg      UGC12410                     1.000    -9.22     7.04    1.000   -21.41    61.68
2004cz      ESO407-009                   0.591    -0.18     0.19    0.774    -0.57     0.07
2005jy      A231351+0115                 1.000     3.66     0.65    1.000     2.29     0.29
2013hp      UGC12432                     0.963    -0.13     0.92    0.933    -0.31     0.38
2008gm      NGC7530                      0.789     0.44     0.27    0.751     0.83     0.13
2012dj      NGC7531                      0.135    -0.34     0.04    0.154     0.05     0.02
1992bl      ESO291-011                   1.000    -2.29     1.98    0.990    -5.26     9.05
2009nq      NGC7549                      0.988    -0.49     0.41    0.990    -1.95     9.00
2008fz      A231616+1142                 0.312     5.25     9.03    1.000    -0.72     9.08
2005id      A231633-0039                 0.977    16.33    59.61    0.626     8.57     1.42
2005fh      A231729+0025                 1.000    -2.30     9.04    0.124     1.74     9.00
1970I       PGC070967                    0.998    -1.43     0.99    0.998    -4.06     9.01
2005lf      A231842-0112                 0.597     8.29     4.04    0.690     9.41     2.64
1973T       PGC071062                    0.170     0.08     0.07    0.201     0.49     0.03
2000ey      IC1481                       0.129     1.00     0.26    0.089     1.45     0.13
1973M       NGC7609                      0.088    -2.11     0.30    0.130    -1.35     0.12
2013fs      NGC7610                      0.541    -0.49     0.16    0.559     0.02     0.09
2005jh      A232004-0003                 0.808    13.62    40.70    1.000    -2.91     9.08
1970J       NGC7619                      0.762    -3.27     9.01    0.585    -1.14     9.00
2005mq      A232021-0020                 0.000    -7.06     9.47    0.000    -4.63     9.06
2008ea      NGC7624                      0.448     0.53     0.26    0.463     0.96     0.11
2010kc      NGC7624                      0.038     1.26     0.33    0.040     1.22     0.11
1968M       PGC086491                    0.131     0.64     0.44    0.154     0.65     0.07
2006B       UGC12538                     0.049    -0.19     0.28    0.065     0.42     0.13
1972J       NGC7634                      0.915    -3.96     9.02    0.923    -0.84     0.15
2010kx      NGC7645                      0.144     1.94     0.12    0.182     2.53     0.06
2009hi      NGC7647                      0.506    -2.34     9.00    0.398    -0.50     9.00
1995W       NGC7650                      0.453     1.85     0.25    0.471     1.77     0.08
1992ao      NGC7637                      0.981    -4.10     9.00    0.976    -3.39     9.00
2012ah      NGC7637                      0.794    -2.51     9.00    0.818    -1.44     9.00
2014ce      NGC7673                      0.069     0.47     0.02    0.071     0.54     0.01
1973L       PGC071495                    0.230     1.94     0.16    0.222     1.34     0.05
2011ee      NGC7674                      0.433     0.54     0.06    0.418     0.76     0.03
2011hb      NGC7674                      0.664     0.60     0.09    0.649     1.12     0.05
1997dc      NGC7678                      0.053     0.57     0.24    0.076     0.97     0.12
2002dp      NGC7678                      0.853     1.51     0.42    0.833     1.42     0.18
2009ga      NGC7678                      0.398     0.59     0.16    0.414     0.84     0.08
2013F       IC5325                       0.226    -0.10     0.04    0.251     0.27     0.02
2011dy      UGC12628                     0.878    -1.44     0.30    0.890    -1.23     0.16
2005co      IC1496                       0.042    -0.67     0.12    0.095    -0.01     0.06
2011ef      UGC12640                     0.029     0.61     0.12    0.026     0.54     0.04
2006do      ESO470-018                   1.000     0.33     1.21    1.000     2.03     0.62
2014az      NGC7691                      0.407     0.20     0.11    0.431     0.43     0.05
1996al      NGC7689                      0.000    -1.16     0.52    0.000     0.17     0.16
2004gx      UGC12663                     0.135    -0.01     0.38    0.196     0.38     0.18
1993ad      IC1501                       0.994    -3.41     0.22    0.993    -3.02     0.13
2008ha      UGC12682                     0.232     1.30     0.28    0.220     1.57     0.16
1999dn      NGC7714                      0.478     0.97     0.03    0.477     1.34     0.05
2007fo      NGC7714                      0.415     1.26     0.02    0.417     1.51     0.03
2005gw      A233759+0038                 0.000   -10.93    22.85    0.000    -4.09    10.15
1961N       IC5342                       1.000    -3.48     9.03    0.166     2.06     0.64
2007le      NGC7721                      0.052     0.91     0.07    0.074     1.05     0.03
1975N       NGC7723                      0.619     0.93     0.07    0.661     0.97     0.03
