# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
2003ed      14.46   0.05  14.84   0.06  13.36   0.03  12.01   0.02  17.94 -9.000 -99.00  -9.00  13.82   0.05  14.21   0.06  12.71   0.03  11.36   0.01  17.30 -9.000 -99.00  -9.00  13.52   0.05  13.90   0.06  12.42   0.03  11.10   0.02  16.99 -9.000 -99.00  -9.00  NGC5303A            47.1     55.9
2003ej      18.35   0.35  21.33   1.37  19.82   0.69  18.33   0.35  21.83 -9.000 -99.00  -9.00  17.49   0.28  20.40   1.08  18.91   0.54  17.47   0.28  20.97 -9.000 -99.00  -9.00  18.36   0.54  21.86   2.69  20.21   1.26  18.33   0.53  21.84 -9.000 -99.00  -9.00  UGC7820             61.1     84.4
2003el      16.13   0.11  19.26   0.48  17.76   0.24  16.27   0.12  19.61 -9.000 -99.00  -9.00  15.42   0.11  18.58   0.47  17.07   0.24  15.57   0.12  18.90 -9.000 -99.00  -9.00  15.17   0.11  18.30   0.47  16.80   0.24  15.30   0.12  18.64 -9.000 -99.00  -9.00  NGC5000            102.5     82.5
2003em      17.07   0.19  19.95   0.71  18.43   0.35  16.91   0.18  20.55 -9.000 -99.00  -9.00  16.28   0.16  19.11   0.60  17.62   0.30  16.12   0.15  19.75 -9.000 -99.00  -9.00  15.89   0.17  18.72   0.63  17.22   0.32  15.74   0.16  19.37 -9.000 -99.00  -9.00  E478-G06            32.4     63.2
2003ep      13.45   0.03  15.99   0.11  14.48   0.05  12.98   0.03  16.93 -9.000 -99.00  -9.00  12.70   0.03  15.23   0.10  13.73   0.05  12.22   0.03  16.18 -9.000 -99.00  -9.00  12.38   0.03  14.91   0.10  13.41   0.05  11.90   0.03  15.86 -9.000 -99.00  -9.00  NGC7053             72.0     67.8
2003fb      17.06   0.19  19.86   0.68  18.35   0.34  16.86   0.17  20.54 -9.000 -99.00  -9.00  16.45   0.17  19.23   0.61  17.73   0.31  16.25   0.16  19.93 -9.000 -99.00  -9.00  16.49   0.22  19.33   0.81  17.82   0.40  16.28   0.20  19.97 -9.000 -99.00  -9.00  UGC11522            32.6     35.2
2003gh      14.66   0.06  17.65   0.25  16.13   0.12  14.63   0.06  18.13 -9.000 -99.00  -9.00  13.95   0.05  16.93   0.22  15.42   0.11  13.92   0.05  17.43 -9.000 -99.00  -9.00  13.79   0.06  16.78   0.26  15.27   0.13  13.76   0.06  17.27 -9.000 -99.00  -9.00  NGC2466             54.6     64.3
2003gi      16.94   0.17  19.08   0.46  17.56   0.23  16.00   0.11  20.42 -9.000 -99.00  -9.00  16.59   0.18  18.72   0.49  17.20   0.25  15.65   0.12  20.07 -9.000 -99.00  -9.00  16.30   0.21  18.49   0.56  16.94   0.28  15.31   0.13  19.78 -9.000 -99.00  -9.00  IC1561              62.5     55.3
2003gk      16.40   0.14  17.97   0.28  16.49   0.14  15.06   0.07  19.88 -9.000 -99.00  -9.00  15.72   0.12  17.28   0.25  15.80   0.13  14.38   0.07  19.20 -9.000 -99.00  -9.00  15.31   0.13  16.86   0.26  15.39   0.13  14.02   0.07  18.79 -9.000 -99.00  -9.00  NGC7460             77.9     98.8
2003gl      17.20   0.20  20.05   0.76  18.53   0.38  17.00   0.19  20.67 -9.000 -99.00  -9.00  16.53   0.19  19.37   0.70  17.86   0.35  16.34   0.17  20.01 -9.000 -99.00  -9.00  16.28   0.19  19.14   0.71  17.62   0.35  16.09   0.17  19.76 -9.000 -99.00  -9.00  NGC7782            102.7     53.9
2003gm      17.39   0.24  17.82   0.29  16.44   0.16  15.20   0.09  20.87 -9.000 -99.00  -9.00  16.74   0.21  17.21   0.26  15.63   0.13  14.12   0.06  20.22 -9.000 -99.00  -9.00  17.32   0.35  17.82   0.44  16.09   0.20  14.48   0.09  20.79 -9.000 -99.00  -9.00  NGC5334            152.2    124.9
2003gu      17.57   0.22  20.60   0.89  19.09   0.45  17.56   0.22  21.05 -9.000 -99.00  -9.00  16.71   0.20  19.77   0.82  18.26   0.41  16.70   0.20  20.19 -9.000 -99.00  -9.00  16.38   0.20  19.43   0.80  17.92   0.40  16.37   0.19  19.86 -9.000 -99.00  -9.00  UGC12331            46.0     32.2
2003hg      14.03   0.05  16.31   0.13  14.81   0.06  13.33   0.03  17.51 -9.000 -99.00  -9.00  13.24   0.04  15.52   0.10  14.02   0.05  12.53   0.03  16.72 -9.000 -99.00  -9.00  12.83   0.04  15.10   0.11  13.61   0.06  12.13   0.03  16.31 -9.000 -99.00  -9.00  NGC7771            141.6    126.7
2003hm      14.60   0.06  16.92   0.17  15.41   0.09  13.90   0.04  18.08 -9.000 -99.00  -9.00  13.84   0.05  16.16   0.15  14.65   0.07  13.14   0.04  17.32 -9.000 -99.00  -9.00  13.57   0.06  15.89   0.17  14.38   0.08  12.86   0.04  17.05 -9.000 -99.00  -9.00  UGC2295             86.8     80.4
2003ho      18.62   0.36  21.00   1.07  19.50   0.54  18.04   0.27  22.10 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  E235-G58            13.5     20.9
2003hr      18.68   0.40  19.81   0.67  18.43   0.35  17.32   0.21  22.16 -9.000 -99.00  -9.00  17.44   0.25  18.66   0.44  17.16   0.22  15.69   0.11  20.92 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  17.51   0.35 -99.00 -9.000 -99.00  -9.00  NGC2551            117.9     50.5
2003hs      18.06   0.29  23.41   3.41  21.91   1.70  20.39   0.85  21.54 -9.000 -99.00  -9.00  16.99   0.20  22.29   2.25  20.78   1.12  19.28   0.56  20.47 -9.000 -99.00  -9.00  16.39   0.20  21.62   2.18  20.11   1.09  18.61   0.55  19.87 -9.000 -99.00  -9.00  UGC11149            38.9     66.1
2003hv      16.51   0.14  16.71   0.15  15.26   0.08  13.80   0.04  19.99 -9.000 -99.00  -9.00  15.92   0.14  16.12   0.15  14.63   0.08  13.17   0.04  19.40 -9.000 -99.00  -9.00  15.91   0.17  16.11   0.19  14.62   0.10  13.08   0.05  19.39 -9.000 -99.00  -9.00  NGC1201            132.8     94.0
2003hx      13.90   0.04  14.97   0.07  13.45   0.04  11.95   0.02  17.38 -9.000 -99.00  -9.00  13.04   0.04  14.12   0.06  12.58   0.03  11.04   0.01  16.52 -9.000 -99.00  -9.00  12.64   0.04  13.73   0.06  12.18   0.03  10.60   0.02  16.12 -9.000 -99.00  -9.00  NGC2076            126.1    115.9
2003id      17.32   0.21  18.79   0.41  17.31   0.21  15.91   0.11  20.80 -9.000 -99.00  -9.00  17.83   0.33  19.36   0.67  17.81   0.33  16.14   0.15  21.31 -9.000 -99.00  -9.00  16.45   0.22  17.94   0.44  16.44   0.22  14.99   0.11  19.93 -9.000 -99.00  -9.00  NGC895             138.5     93.0
2003if      15.16   0.08  15.49   0.09  13.98   0.04  12.42   0.02  18.64 -9.000 -99.00  -9.00  14.62   0.07  14.95   0.09  13.41   0.04  11.80   0.02  18.10 -9.000 -99.00  -9.00  14.33   0.08  14.66   0.10  13.15   0.05  11.59   0.02  17.81 -9.000 -99.00  -9.00  NGC1302            132.2    138.7
2003ig      16.18   0.12  19.33   0.51  17.81   0.25  16.29   0.13  19.66 -9.000 -99.00  -9.00  15.35   0.11  18.50   0.46  16.98   0.23  15.46   0.11  18.83 -9.000 -99.00  -9.00  14.98   0.10  18.10   0.43  16.59   0.21  15.08   0.11  18.45 -9.000 -99.00  -9.00  UGC2971             74.6     88.1
2003ih      14.94   0.07  17.74   0.24  16.23   0.12  14.64   0.06  18.41 -9.000 -99.00  -9.00  14.21   0.06  17.02   0.20  15.50   0.10  13.91   0.05  17.69 -9.000 -99.00  -9.00  13.84   0.06  16.64   0.22  15.13   0.11  13.54   0.05  17.32 -9.000 -99.00  -9.00  UGC2836             36.2     46.6
2003ij     -99.00  -9.00  22.91   2.65 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  UGC3336             44.0      8.7
2003is      15.89   0.10  18.84   0.40  17.33   0.20  15.82   0.10  19.37 -9.000 -99.00  -9.00  15.20   0.09  18.14   0.33  16.63   0.17  15.12   0.08  18.68 -9.000 -99.00  -9.00  14.88   0.10  17.84   0.38  16.33   0.19  14.81   0.10  18.36 -9.000 -99.00  -9.00  M+07-40-03          70.0     70.1
2003iw      17.75   0.25  20.30   0.81  18.81   0.41  17.37   0.21  21.23 -9.000 -99.00  -9.00  17.11   0.23  19.74   0.77  18.22   0.38  16.68   0.19  20.58 -9.000 -99.00  -9.00  16.63   0.23  19.17   0.76  17.69   0.38  16.24   0.20  20.11 -9.000 -99.00  -9.00  NGC7102             83.6     53.3
2003iy      15.68   0.10  18.63   0.38  17.12   0.19  15.61   0.10  19.16 -9.000 -99.00  -9.00  15.10   0.08  18.07   0.33  16.55   0.16  15.03   0.08  18.58 -9.000 -99.00  -9.00  14.91   0.10  17.89   0.40  16.37   0.20  14.84   0.10  18.39 -9.000 -99.00  -9.00  NGC6143             57.9     61.1
2003ja      15.31   0.08  18.06   0.28  16.56   0.14  15.07   0.07  18.79 -9.000 -99.00  -9.00  14.59   0.06  17.34   0.23  15.85   0.12  14.35   0.06  18.07 -9.000 -99.00  -9.00  14.19   0.07  16.94   0.26  15.45   0.13  13.95   0.06  17.67 -9.000 -99.00  -9.00  NGC846              96.3    105.8
2003jc     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  M-01-58-18          46.6     37.3
2003jd      17.65   0.25  20.59   0.96  19.10   0.48  17.57   0.24  21.13 -9.000 -99.00  -9.00  16.59   0.19  19.52   0.72  18.01   0.36  16.51   0.18  20.07 -9.000 -99.00  -9.00  17.17   0.31  20.17   1.24  18.66   0.62  17.09   0.30  20.65 -9.000 -99.00  -9.00  M-01-59-21          26.2     25.1
2003jz      14.03   0.04  16.83   0.15  15.34   0.08  13.89   0.04  17.51 -9.000 -99.00  -9.00  13.35   0.04  16.15   0.15  14.66   0.08  13.21   0.04  16.83 -9.000 -99.00  -9.00  13.07   0.04  15.87   0.15  14.38   0.08  12.93   0.04  16.55 -9.000 -99.00  -9.00  UGC5225             38.8     35.6
2003ka      16.95   0.18  19.93   0.71  18.43   0.36  16.93   0.18  20.43 -9.000 -99.00  -9.00  16.69   0.17  19.73   0.70  18.21   0.35  16.66   0.17  20.16 -9.000 -99.00  -9.00  15.78   0.15  18.74   0.59  17.24   0.30  15.76   0.15  19.26 -9.000 -99.00  -9.00  M+06-50-20          66.9     51.9
2003kb      16.26   0.13  18.96   0.44  17.47   0.22  16.01   0.11  19.74 -9.000 -99.00  -9.00  15.51   0.10  18.19   0.34  16.71   0.17  15.26   0.09  18.99 -9.000 -99.00  -9.00  15.27   0.12  17.97   0.41  16.48   0.21  15.02   0.11  18.75 -9.000 -99.00  -9.00  UGC3432             68.7     67.5
2003lo      16.76   0.16  19.13   0.49  17.61   0.24  16.06   0.12  20.24 -9.000 -99.00  -9.00  16.16   0.15  18.52   0.46  17.01   0.23  15.47   0.11  19.64 -9.000 -99.00  -9.00  15.97   0.18  18.35   0.53  16.83   0.27  15.26   0.13  19.45 -9.000 -99.00  -9.00  NGC1376            108.0    112.7
2003lp      16.18   0.12  17.74   0.25  16.23   0.13  14.69   0.06  19.66 -9.000 -99.00  -9.00  15.54   0.10  17.10   0.21  15.60   0.10  14.06   0.05  19.02 -9.000 -99.00  -9.00  15.37   0.13  16.96   0.26  15.43   0.13  13.82   0.06  18.85 -9.000 -99.00  -9.00  UGC6711             38.2     39.4
2004A       18.68   0.40  19.17   0.50  17.41   0.22  15.46   0.09  22.15 -9.000 -99.00  -9.00  17.30   0.23  17.74   0.29  16.20   0.14  14.60   0.07  20.77 -9.000 -99.00  -9.00  17.92   0.41  18.44   0.52  16.52   0.22  14.43   0.08  21.40 -9.000 -99.00  -9.00  NGC6207            143.2    136.8
2004F       15.22   0.08  18.02   0.30  16.53   0.15  15.06   0.08  18.70 -9.000 -99.00  -9.00  14.54   0.07  17.36   0.27  15.87   0.13  14.38   0.07  18.02 -9.000 -99.00  -9.00  14.26   0.08  17.07   0.30  15.58   0.15  14.09   0.08  17.73 -9.000 -99.00  -9.00  NGC1285             53.3     67.8
2004S      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  M-05-16-21          88.0     43.8
2004ac      19.56   0.57  22.87   2.63  21.10   1.17  18.90   0.42  23.04 -9.000 -99.00  -9.00  18.87   0.51  21.73   1.91  20.14   0.92  18.36   0.41  22.35 -9.000 -99.00  -9.00  17.68   0.38  20.17   1.19  18.70   0.60  17.30   0.32  21.16 -9.000 -99.00  -9.00  IC4769              52.5     80.9
2004al      15.52   0.09  18.16   0.32  16.67   0.16  15.18   0.08  19.00 -9.000 -99.00  -9.00  14.83   0.08  17.48   0.29  15.99   0.14  14.50   0.07  18.31 -9.000 -99.00  -9.00  14.62   0.10  17.26   0.33  15.77   0.17  14.28   0.08  18.10 -9.000 -99.00  -9.00  E565-G25            40.7     33.3
2004bd      13.95   0.04  15.68   0.09  14.15   0.05  12.63   0.02  17.43 -9.000 -99.00  -9.00  13.14   0.04  14.88   0.09  13.34   0.04  11.82   0.02  16.62 -9.000 -99.00  -9.00  12.70   0.04  14.45   0.08  12.89   0.04  11.36   0.02  16.17 -9.000 -99.00  -9.00  NGC3786            102.7     97.1
2004bs      14.96   0.07  17.89   0.27  16.41   0.14  14.95   0.07  18.44 -9.000 -99.00  -9.00  14.29   0.06  17.23   0.22  15.74   0.11  14.29   0.06  17.77 -9.000 -99.00  -9.00  14.08   0.07  17.02   0.27  15.53   0.14  14.07   0.07  17.56 -9.000 -99.00  -9.00  NGC3323             39.3     41.5
2004by      16.83   0.16  18.69   0.38  17.19   0.19  15.71   0.10  20.31 -9.000 -99.00  -9.00  16.64   0.20  18.56   0.47  17.02   0.23  15.41   0.11  20.12 -9.000 -99.00  -9.00  16.05   0.17  17.93   0.40  16.42   0.20  14.89   0.10  19.53 -9.000 -99.00  -9.00  NGC7116             44.1     69.0
2004ca      17.38   0.21  20.21   0.77  18.70   0.38  17.21   0.19  20.86 -9.000 -99.00  -9.00  17.02   0.20  19.86   0.73  18.35   0.36  16.84   0.18  20.50 -9.000 -99.00  -9.00  16.14   0.18  18.96   0.64  17.45   0.32  15.97   0.16  19.62 -9.000 -99.00  -9.00  UGC11799           103.5     73.3
2004cc      13.95   0.05  14.10   0.05  12.60   0.03  11.11   0.01  17.43 -9.000 -99.00  -9.00  13.20   0.04  13.35   0.04  11.84   0.02  10.33   0.01  16.68 -9.000 -99.00  -9.00  12.88   0.04  13.02   0.05  11.51   0.02   9.99   0.01  16.36 -9.000 -99.00  -9.00  NGC4568            149.5    163.8
2004ch      14.49   0.06  16.04   0.13  14.54   0.06  13.06   0.03  17.97 -9.000 -99.00  -9.00  13.76   0.05  15.32   0.11  13.81   0.05  12.32   0.03  17.24 -9.000 -99.00  -9.00  13.36   0.05  14.90   0.11  13.41   0.06  11.95   0.03  16.84 -9.000 -99.00  -9.00  NGC5612             84.0    104.5
2004ci      15.37   0.09  17.89   0.28  16.36   0.14  14.76   0.07  18.85 -9.000 -99.00  -9.00  14.59   0.07  17.12   0.21  15.58   0.10  13.97   0.05  18.07 -9.000 -99.00  -9.00  14.23   0.08  16.74   0.24  15.22   0.12  13.62   0.06  17.71 -9.000 -99.00  -9.00  NGC5980             85.2     74.4
2004cs      16.01   0.11  18.38   0.34  16.89   0.17  15.43   0.09  19.49 -9.000 -99.00  -9.00  15.40   0.10  17.78   0.29  16.29   0.15  14.83   0.07  18.88 -9.000 -99.00  -9.00  15.17   0.12  17.54   0.35  16.05   0.17  14.59   0.09  18.65 -9.000 -99.00  -9.00  UGC11001            70.2     65.3
2004cx      15.50   0.09  16.82   0.16  15.32   0.08  13.83   0.04  18.98 -9.000 -99.00  -9.00  14.88   0.08  16.21   0.15  14.70   0.08  13.18   0.04  18.36 -9.000 -99.00  -9.00  14.52   0.09  15.84   0.16  14.34   0.08  12.88   0.04  18.00 -9.000 -99.00  -9.00  NGC7755            101.9    102.9
2004da      15.44   0.09  18.07   0.30  16.55   0.15  14.98   0.07  18.91 -9.000 -99.00  -9.00  14.59   0.07  17.20   0.24  15.69   0.12  14.14   0.06  18.07 -9.000 -99.00  -9.00  14.43   0.09  17.08   0.29  15.55   0.14  13.96   0.07  17.91 -9.000 -99.00  -9.00  NGC6901             73.2     71.8
2004db     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC7377             18.1     78.6
2004dd      16.21   0.13  18.41   0.35  16.89   0.17  15.35   0.09  19.69 -9.000 -99.00  -9.00  15.66   0.12  17.89   0.33  16.35   0.16  14.77   0.08  19.14 -9.000 -99.00  -9.00  15.24   0.12  17.43   0.34  15.92   0.17  14.39   0.08  18.72 -9.000 -99.00  -9.00  NGC124              49.7     49.2
2004dg      16.06   0.12  16.39   0.14  14.88   0.07  13.33   0.03  19.54 -9.000 -99.00  -9.00  15.65   0.12  15.97   0.14  14.48   0.07  12.83   0.03  19.13 -9.000 -99.00  -9.00  15.20   0.13  15.52   0.15  14.01   0.07  12.46   0.04  18.67 -9.000 -99.00  -9.00  NGC5806            151.1    126.0
2004dh      15.76   0.10  18.72   0.40  17.23   0.20  15.74   0.10  19.23 -9.000 -99.00  -9.00  15.05   0.08  18.03   0.32  16.54   0.16  15.04   0.08  18.53 -9.000 -99.00  -9.00  14.80   0.10  17.78   0.38  16.28   0.19  14.79   0.10  18.28 -9.000 -99.00  -9.00  M+04-01-48          36.3     41.4
2004di      18.10   0.29  21.46   1.37  19.93   0.67  18.32   0.32  21.58 -9.000 -99.00  -9.00  16.55   0.16  19.77   0.71  18.26   0.35  16.74   0.18  20.03 -9.000 -99.00  -9.00  16.01   0.17  19.17   0.72  17.67   0.36  16.20   0.18  19.49 -9.000 -99.00  -9.00  UGC10097            89.0     52.7
2004dk      16.81   0.16  17.24   0.20  15.78   0.10  14.29   0.05  20.29 -9.000 -99.00  -9.00  16.30   0.16  16.73   0.20  15.24   0.10  13.69   0.05  19.78 -9.000 -99.00  -9.00  15.91   0.17  16.35   0.21  14.82   0.10  13.27   0.05  19.39 -9.000 -99.00  -9.00  NGC6118            146.4    194.0
2004dn      17.63   0.25  19.68   0.65  18.20   0.33  16.74   0.17  21.11 -9.000 -99.00  -9.00  17.44   0.25  19.59   0.67  18.05   0.33  16.44   0.16  20.92 -9.000 -99.00  -9.00  15.82   0.16  17.79   0.39  16.35   0.20  15.06   0.11  19.30 -9.000 -99.00  -9.00  UGC2069             90.0     64.3
2004do      16.40   0.14  17.72   0.25  16.24   0.13  14.79   0.07  19.88 -9.000 -99.00  -9.00  15.88   0.13  17.21   0.24  15.72   0.12  14.25   0.06  19.36 -9.000 -99.00  -9.00  15.91   0.17  17.26   0.32  15.75   0.16  14.18   0.08  19.39 -9.000 -99.00  -9.00  NGC6708             63.2     47.4
2004ds      14.83   0.07  17.55   0.23  16.04   0.11  14.51   0.06  18.31 -9.000 -99.00  -9.00  14.16   0.06  16.89   0.21  15.38   0.11  13.83   0.05  17.64 -9.000 -99.00  -9.00  13.73   0.06  16.44   0.22  14.94   0.11  13.40   0.05  17.21 -9.000 -99.00  -9.00  NGC808              57.0     47.1
2004dt      16.01   0.12  19.10   0.48  17.58   0.24  16.07   0.12  19.49 -9.000 -99.00  -9.00  15.50   0.11  18.61   0.47  17.09   0.23  15.56   0.12  18.98 -9.000 -99.00  -9.00  15.14   0.12  18.24   0.51  16.72   0.25  15.20   0.13  18.62 -9.000 -99.00  -9.00  NGC799              58.9     77.1
2004eg      17.23   0.20  18.44   0.34  16.89   0.17  15.24   0.08  20.71 -9.000 -99.00  -9.00  16.33   0.15  17.53   0.26  15.99   0.13  14.36   0.06  19.81 -9.000 -99.00  -9.00  16.08   0.17  17.26   0.30  15.75   0.15  14.26   0.08  19.55 -9.000 -99.00  -9.00  UGC3053             70.7     50.1
2004ei      15.12   0.07  18.13   0.29  16.63   0.15  15.16   0.07  18.60 -9.000 -99.00  -9.00  14.28   0.06  17.28   0.23  15.78   0.11  14.32   0.06  17.76 -9.000 -99.00  -9.00  13.87   0.06  16.89   0.25  15.39   0.13  13.92   0.06  17.35 -9.000 -99.00  -9.00  UGC2817             88.8     90.3
2004ej      17.33   0.22  19.09   0.49  17.57   0.24  16.04   0.12  20.80 -9.000 -99.00  -9.00  16.71   0.20  18.54   0.45  16.97   0.22  15.29   0.10  20.18 -9.000 -99.00  -9.00  15.96   0.18  17.67   0.38  16.19   0.20  14.77   0.10  19.43 -9.000 -99.00  -9.00  NGC3095            189.1    135.7
2004ek     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  M+05-03-75          55.0     85.8
2004em      16.84   0.16  19.30   0.51  17.80   0.25  16.30   0.13  20.31 -9.000 -99.00  -9.00  16.33   0.14  18.76   0.44  17.27   0.22  15.82   0.11  19.81 -9.000 -99.00  -9.00  15.93   0.16  18.37   0.50  16.87   0.25  15.41   0.13  19.41 -9.000 -99.00  -9.00  IC1303              53.9     46.3
2004ep      14.55   0.06  15.38   0.09  13.81   0.04  12.23   0.02  18.03 -9.000 -99.00  -9.00  13.85   0.05  14.68   0.08  13.11   0.04  11.54   0.02  17.32 -9.000 -99.00  -9.00  13.63   0.06  14.46   0.09  12.90   0.04  11.33   0.02  17.11 -9.000 -99.00  -9.00  IC2152              47.6     43.5
2004eq      16.94   0.17  18.16   0.30  16.66   0.15  15.16   0.08  20.42 -9.000 -99.00  -9.00  16.12   0.15  17.34   0.26  15.84   0.13  14.36   0.07  19.60 -9.000 -99.00  -9.00  16.12   0.19  17.35   0.33  15.83   0.16  14.27   0.08  19.60 -9.000 -99.00  -9.00  E404-G12            55.8     88.9
2004er      16.93   0.16  19.30   0.49  17.82   0.25  16.39   0.13  20.41 -9.000 -99.00  -9.00  16.48   0.17  18.87   0.51  17.38   0.26  15.93   0.13  19.96 -9.000 -99.00  -9.00  15.82   0.16  18.18   0.47  16.70   0.24  15.29   0.13  19.30 -9.000 -99.00  -9.00  M-01-07-24          54.9     38.3
2004ex      18.05   0.28  20.84   1.03  19.34   0.51  17.81   0.25  21.53 -9.000 -99.00  -9.00  16.89   0.22  19.68   0.80  18.18   0.40  16.65   0.20  20.37 -9.000 -99.00  -9.00  16.69   0.23  19.45   0.82  17.95   0.41  16.45   0.21  20.17 -9.000 -99.00  -9.00  NGC182             129.3     70.3
2004ez     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC3430             90.5    155.6
2004fc      14.12   0.05  14.43   0.06  12.96   0.03  11.70   0.02  17.60 -9.000 -99.00  -9.00  13.42   0.04  13.74   0.05  12.25   0.03  10.98   0.01  16.90 -9.000 -99.00  -9.00  13.04   0.05  13.35   0.05  11.89   0.03  10.66   0.02  16.52 -9.000 -99.00  -9.00  NGC701             117.0    119.4
2004fd      12.65   0.02  15.40   0.08  13.91   0.04  12.45   0.02  16.13 -9.000 -99.00  -9.00  11.88   0.02  14.63   0.07  13.14   0.03  11.68   0.02  15.36 -9.000 -99.00  -9.00  11.57   0.02  14.32   0.08  12.83   0.04  11.37   0.02  15.05 -9.000 -99.00  -9.00  NGC1060            108.4    106.6
2004fe      15.66   0.10  18.48   0.35  16.97   0.17  15.47   0.09  19.14 -9.000 -99.00  -9.00  15.03   0.09  17.86   0.32  16.35   0.16  14.83   0.08  18.51 -9.000 -99.00  -9.00  14.67   0.09  17.50   0.35  15.99   0.17  14.48   0.09  18.15 -9.000 -99.00  -9.00  NGC132              60.7     56.0
